Bid No,Item Category,Searched Strings,Searched Result,Relevant Categories,Matched Category,Match Label,Match Score
GEM/2026/B/7875145,"FLAT MS SIZE: 50 X 6 MM , FLAT MS SIZE: 75 X 10 MM",FLAT MS IS 2062 1992 SIZE 75 X 10 MM,"Cast Iron Bench, Multipurpose or General Test Tubes (V2) as per IS 2618, The Indian National Flag as per IS 1, Corrugated Boxes, Swing Check Type Reflux Valves for Water Works Purposes (Single Door Pattern) (V2) as per IS 5312 (Part1), Ammeter - Analog (Panel Meter) as per IS 1248, Labels Stickers (V3), Mechanically Woven, Double - Twisted, Hexagonal Wire Mesh Gabions, Revet Mattresses and Rock Fall Netting as per IS 16014, Endotracheal Tube - Sterile (Single Use), Writing and Printing Papers Conforming to IS 1848 (Part 1)",Steel Flat as per IS 2062,M S Sheet as per IS 1079 (Unit - Mass),Weak — review,44%
GEM/2026/B/7833908,Stop Solenoid and Counter Clutch Assembly,Stop Solenoid and Counter Clutch Assembly,Category not available on GeM for the text string uploaded by the buyer,Globe Valve as per IS 778,Solenoid Valve (V3),Weak — review,37%
GEM/2026/B/7915573,FD WSS MOB RO PLANT 1000 LPH TROLLEY MTD,"SUPPLY, INSTALLATION, TESTING & COMMISSIONING OF MOBILE FIELD RO PLANT (1000 LPH) WITH TROLLEY MTD",Category not available on GeM for the text string uploaded by the buyer,RO Plant with Genset and Trolley,RO Plant with Genset and Trolley,Weak — review,64%
GEM/2026/B/7915225,MOB TROLLEY MTD 5 KL FUEL BOWSER,"Mob Trolley Mounted 4-6 mm Carbon Steel Fabrication fully welded leak proof 5 KL Fuel Bowser for safe transport, storage and dispensing capacity 5000 Ltr",Category not available on GeM for the text string uploaded by the buyer,Collapsible Fuel Storage Tanks (Defence),Diesel Bowser,Weak — review,55%
GEM/2026/B/7911489,"STAINLESS STEEL PIPE AISI-316 SIZE-15 NB AS PER SCHEDULE 40S WITH MATERIAL COMPOSITION CERTIFICATE. , STAINLEES STEEL PIPE AISI 316 L SEAMLESS SIZE 32MM AS PER SCHEDULE 40-S. , STAINLESS STEEL PIPE AISI-316 SIZE-40 NB AS PER SCHEDULE - 40S WITH MATERIAL COMPOSITION CERTIFICATE , PIPE S. S. AISI-316 L, SIZE 50 MM SCHEDULE 40 SEAMLESS. , PIPE S. S. AISI-316 L, SIZE 65 MM SCHEDULE 40 SEAMLESS , PIPE S. S. AISI-316 L, SIZE 40 MM SCHEDULE 40 SEAMLESS , STAINLES STEEL PIPE AISI-316 SIZE -25 NB AS PER SCHEDULE - 40 S WITH MATERIAL COMPOSITION CERTIFICAT",STAINLES STEEL PIPE AISI-316 SIZE -25 NB AS PER SCHEDULE - 40 S WITH MATERIAL COMPOSITION CERTIFICATE,Category not available on GeM for the text string uploaded by the buyer,Steel Pipes for Water and Sewage as per IS 3589,Steel Pipes for Water and Sewage as per IS 3589,Weak — review,57%
GEM/2026/B/7740945,1ST SERVICING KIT FOR NFFCO CFT,1ST SERVICING KIT FOR NFFCO CFT,"Vehicle Servicing and Repairing Kit (Gujarat Govt), Point of Care Rapid Test Kits for Humans – Dengue, Malaria, Typhoid & Others, Rapid Test Kit for HIV Syphilis Hepatitis B Virus (HBV) Hepatitis C Virus (HCV), Wrought carbon Steel And Alloy Steel Pipe Fitting for Moderate And High Temperature Service, Real Time PCR Kits (V2), Cable Termination Kit Suitable for Cables Up to and Including 33 kV (V2), Biochemistry Reagent Kit for Human Samples, Cable Joint Kit Suitable for Cables Up to and Including 33 kV (V2)",personal safety kit reflective luminous garments Cable Joint Kit Suitable for Cables Up to and Including 33 kV (V2) Vehicle Servicing and Repairing Kit (Gujarat Govt),Vehicle Servicing and Repairing Kit (Gujarat Govt),Weak — review,52%
GEM/2026/B/7911626,EMPTY NITROGEN CYLINDER,Empty Nitrogen Cylinder 50ltr capacity,"Fully Reinforced Composite Cylinders (FRCC) - Empty and Transportable (V2), Reverse Osmosis based Water Treatment System above 50 LPH Capacity (V2), Refillable Seamless Steel Gas Cylinders, Nitrogen Tyre Inflators, Vacuum Oven, Nitrogen Generator, Moulded Case Circuit Breakers (MCCB) Conforming To IS IEC 60947 (Part 2), Grain Storage Bin, Electronic Weighing Scales, Shaker Incubator",Cylinder Stand,Nitrogen Generator,Weak — review,62%
GEM/2026/B/7933744,"INSERT DNMG 150608 CVD PVD COATED CARBIDE, FOR UNINTERRUPT MACHINING, APPLICATION RANGE ISO GRADE: S1 , INSERT VBMT160408 FOR MEDIUM & FINISH TURNING OF MARTENSITE AGING STEEL COMPONETS HAVING 50 TO 58 HR , INSERT VBMT160404 FOR MEDIUM & FINISH TURNING OF MARTENSITE AGING STEEL COMPONETS HAVING 50 TO 58 HR","INSERT VBMT160404 FOR MEDIUM & FINISH TURNING OF MARTENSITE AGING STEEL COMPONETS HAVING 50 TO 58 HRC HARDNESS , APPLICATION RANGE ISO GRADE: S05- M10,SUPER ALLOY GEOMENTRY WITH MULTI-LAYER PVD- ALTIN COATING",Category not available on GeM for the text string uploaded by the buyer,Indexable Inserts,Solid carbide end mill,Weak — review,51%
GEM/2026/B/7852246,Desktop computer i5-14700 14th Generation with 23.8 inch display,Desktop computer i5 14700 14th generation with 23.8 inch display,Automatic Milk Collection Unit with Electronic Milk Analyzer and Adulteration testing,High End Desktop Computer,High End Desktop Computer,Weak — review,55%
GEM/2026/B/7811471,CARTOGRAPHIC SYSTEM AND METHOD FOR VISUALISATION OF TERRAIN FEATURES,Cartographic system and method for visualization of terrain features,"Drone or Unmanned Aerial Vehicle with Customized Payload (Defence Forces - Navy, Army and Air Force), Reverse Osmosis based Point of Use Water Treatment System for Drinking Purposes (V3) as per IS 16240, Live Remote Temperature and Humidity Monitoring and Alert System",Visual Presenters (V2),Maps,Weak — review,44%
GEM/2026/B/7937817,Dual Channel SMU,Dual Channel SMU,"CHANNEL KNOB, Manual Single Channel Air Displacement Pipetters Or Micropipette (V2), Dual Chamber Implantable Pacemaker, Dual Chamber Temporary Pacemaker, Electrocardiography (ECG) Machine (V2), Dual Headed Gamma Camera, Transcutaneous Electrical Nerve Stimulation (TENS) Unit (V2), 4-channel Noise and Vibration Analyzer, Portable and Wireless One Channel Spectroscopy, function generator",Portable Photosynthesis Gas exchanging(by plant leaves) measurement system CHANNEL KNOB Electronic Lectern System,Wide Band Communication Receiver (MHA),Weak — review,40%
GEM/2026/B/7736058,Hyd Pulling back apparatus for 105 mm & 130 mm,Hyd Pulling back apparatus for 105 mm & 130 mm,"Plastic Pallets for Palletized 130 mm Ammunition (Defence), PET Preform For Disposable Water Bottle",Hydraulic Puller,Portable Pulling and Lifting Machine As per BHEL Specifications,Weak — review,46%
GEM/2026/B/7911434,Laser Shaft Alignment Kit,Laser Shaft Alignment Kit,Category not available on GeM for the text string uploaded by the buyer,Shaft and Shaft Assembly as per Drawing (RCF),Wheel Alignment Equipment,Weak — review,62%
GEM/2026/B/7935663,"SUPPLY AND STACKING FACTORY MADE PRECAST BOX CULVERT SEGMENT ( 2X2X1) MTR OF GRADE M-35 , SUPPLY AND STACKING FACTORY MADE PRECAST BOX CULVERT SEGMENT ( 2X2X0.5) MTR OF GRADE M-35",SUPPLY AND STACKING FACTORY MADE PRECAST BOX CULVERT SEGMENT ( 2X2X0.5) MTR OF GRADE M-35,Category not available on GeM for the text string uploaded by the buyer,Precast Concrete Pipes (With And Without Reinforcement) (V2) As Per Is 458,"Corrugated Box for A.P. Mine, 55-Meter Spool -OFB",Weak — review,49%
GEM/2026/B/7952344,"LP OF APPLE FENDER , LP OF BANANA FENDER","BANANA FENDER SIZE F-7 LENGTH 1020, DIA- 375 MM",Category not available on GeM for the text string uploaded by the buyer,Pneumatic fender,Pneumatic Fender (V2),Weak — review,48%
GEM/2026/B/7933622,SERVICE CONTRACT FOR CONSERVANCY WORK AT OFMK TOWNSHIP FOR A PERIOD OF ONE YEAR AS PER THE DETAILS E,SERVICE CONTRACT FOR CONSERVANCY WORK AT OFMK TOWNSHIP FOR A PERIOD OF ONE YEAR AS PER THE DETAILS ENCLOSED AT ANNEXURE 'A',Category not available on GeM for the text string uploaded by the buyer,Cleaning scrapers,Vehicle Servicing and Repairing Kit (Gujarat Govt),Weak — review,41%
GEM/2026/B/7842247,"Uniform Shirting Cloth, Raymond Brand, Code: 0001213-04, 05 Mtrs: 24 Pieces+ 4.5 Mtrs: 107 Pieces, , Uniform Suiting Cloth, Raymond Brand, Code: 4040-1523 (67) , 2.8 Mtrs: 24 Pieces+ 2.5 Mtrs: 107 Piec","Uniform Suiting Cloth, Raymond Brand, Code: 4040-1523 (67), 2.8 Mtrs: 24 Pieces + 2.5 Mtrs: 107 Pieces, Total: 131 Pieces",Category not available on GeM for the text string uploaded by the buyer,Cloth Disruptive Polyester and Cotton (20:80) with Digital Print Uniform Cloth (V3) (CRPF) Male Uniform Cloth Material (NLC India),Fabric Shirt (Winter Uniform) as per IAF Specifications (V2),Weak — review,60%
GEM/2026/B/7820592,DATA VIDEO WALL WITH OVERALL DIMENSIONS 4.2 FT HEIGHT AND 14.8 FT WIDTH,DATA VIDEO WALL WITH OVERALL DIMENSIONS 4.2 FT HIGHT AND 14.8 FT WIDTH,Category not available on GeM for the text string uploaded by the buyer,Audio Video Switcher Device,data wall display,Weak — review,56%
GEM/2026/B/7911662,Portable Air Compressor,Portable Air Compressor,"Dental Air Compressor, Reciprocating Air Compressor (IOCL), plasma air cutting machine, Element Filter Compressor, Air Curtain, Reciprocating Air Compressors - Electric Motor Driven, Air Compressor Lubricants - Types DAA and DAB Conforming to IS 13256, Zero Air generator with compressor, Portable OT Light (V2), Screw Compressor",Reciprocating Air Compressors - Electric Motor Driven,Dental Air Compressor,Possible match,76%
GEM/2026/B/7953137,Garlic,Garlic,"Garlic Seed (V2), Pickle ( ), Garlic from Mandsaur - ODOP, Garlic from Dindigul - ODOP, Health Supplements, Nutraceuticals and Food for Special Dietary Use (V2), Pickles (Without Vinegar) (Defence)",Garlic Seed (V2),Garlic from Mandsaur - ODOP,Weak — review,70%
GEM/2026/B/7953166,Trainer Drone,Trainer Drone,"Functional Trainer, Digital Trainer Kit, Root Trainer Cups, Networking Trainer Educational Kit, Elliptical Cross Trainer, Bluetooth Trainer Educational Kit, Surveillance Drone Unmanned Aerial Vehicle (V2) (Defence Forces - Navy, Army and Air Force), Electro Pneumatic Trainer - Basic, Drone or Unmanned Aerial Vehicle with Customized Payload (Defence Forces - Navy, Army and Air Force), Urine Catheter Insertion Trainer",Electro Pneumatic Trainer - Basic,Digital Trainer Kit,Weak — review,58%
GEM/2026/B/7953148,40KVA AC & 1500 AMPS DC LOAD BANK FOR DI & START UP LOAD,40KVA AC & 1500 AMPS DC LOAD BANK FOR DI & START UP LOAD,Category not available on GeM for the text string uploaded by the buyer,"Distribution Transformer, 3 Phase, upto and Including 200 KVA ISI Marked To IS 1180 (Part 1) DC Electronic Load",DC Electronic Load,Weak — review,51%
GEM/2026/B/7953146,1.5 ton window ac for office use,1.5 TON WINDOW AC FOR OFFICE USE,"Putty for use on Window Frames as per IS 419, Absorbent Cotton (Sterile and Non-Sterile) for Medical Use Conforming to IS 16468, Nucleic Acid Extraction Kit (For Research Use Only), Anhydrous Ethanol for use as Blending Component in Motor Gasoline (V2) Conforming to IS 15464, File Folder (V3), Health Supplements, Nutraceuticals and Food for Special Dietary Use (V2), Bitumen Primer for use in Waterproofing and Damp - Proofing as per IS 3384, Single Use Sterile Hypodermic Syringes for Human Use Conforming to IS 10258 (Part 1), Trichloroisocyanuric Acid (TCCA-90), Elastic Surgical Adhesive Tapes for Medical Use Conforming to IS 16470",Precision Air Conditioner,Precision Air Conditioner,Weak — review,47%
GEM/2026/B/7953139,DESIGNING AND PRINTING OF CHILKA HERITAGE PUBLICATION,DESIGNING AND PRINTING OF CHILKA HERITAGE PUBLICATION,Category not available on GeM for the text string uploaded by the buyer,Writing and Printing Papers Conforming to IS 1848 (Part 1),Chikan Embroidery from Hooghly - ODOP,Weak — review,49%
GEM/2026/B/7952331,BATTERY SEC LEAD ACID 12V 92AH,BATTERY 12V 92 AH,"Stationary Valve Regulated Lead Acid Batteries (V3) Conforming To IS 15549, Stationary Lead Acid Batteries (with Tubular Positive Plates) in Monobloc Container (V2) Conforming To IS 13369, Stationary Lead-Acid Cells and Batteries with Tubular Positive Plates Conforming To IS 1651, Solar Based NMC Charkha (UP - KVIB), 12 Watt White- LED Based Solar Street Lighting System As Per MNRE Specification, Valve Regulated Lead Acid (VRLA) Batteries as per TEC Specification, Lead Acid Storage Batteries For Motor Vehicles with Light Weight and High Cranking Performance (V2) Conforming to IS 14257, Portable Emergency LED Lighting Tower System with Battery Bank, Online UPS (≤10 KVA) With Battery Conforming To IS 16242 (Part 1), LED Signal Baton",Stationary Valve Regulated Lead Acid Batteries (V3) Conforming To IS 15549,Lead Acid Tubular Tbs Battery(Oil India Limited)-IS:1651,Weak — review,58%
GEM/2026/B/7943073,SCBA SUIT,SCBA SUIT,"Swimming suit (Neoprene Suit), Rain Suit, Combo Unit - Fire Fighting with SCBA Set (V2), Scrub Suit, Suit (Winter) (IAF), Ghillie Suit (MHA), Tracksuit (V2), Low temperature suit, Track Suits (IAF), Boiler Suit (NPCIL)",Boiler Suit (NPCIL) Respiratory Exerciser (V2) Breathing Apparatus with compressed Air Cylinder ( Diving Instruments or Accessories),Scrub Suit,Weak — review,62%
GEM/2026/B/7938544,"OIL, MULTIGRADE, RAIL ROAD ENGINE","OIL,MULTIGRADE,RAIL ROAD ENGINE","Compressor oils Rail Road Service, Modular Table Meeting Table Centre Table (V2), Marine Engine Oil, Internal Combustion Engine Crankcase Oils for Automotive Application (V2) Conforming to IS 13656, Din Rail, LED Luminaire For Road And Street Lights Conforming To IS 10322 (Part 5 Section 3) (V3) (Under BIS Scheme - II), Towel Rail, ROAD BARRIER, Abrasive Rail Cutter Machine (gasoline powered), Revolving Chair (V5)",15w - 40 Diesel Engine Oil,Compressor oils Rail Road Service,Weak — review,56%
GEM/2026/B/7953186,PROCUREMENT OF BELT PLATE AND PRESSING PLATE FOR 1200 AND 500 TRAINEE GALLEY CHAPATTI MACHINE,PROCUREMENT OF BELT PLATE AND PRESSING PLATE FOR 1200 AND 500 TRAINEE GALLEY CHAPATTI MACHINE,Category not available on GeM for the text string uploaded by the buyer,Chapati Plate with Puffer (V2),Plate Loaded T-Bar Row Machine,Weak — review,53%
GEM/2026/B/7953178,1.5 ton split ac for office use,1.5 ton split ac for office use,"Nucleic Acid Extraction Kit (For Research Use Only), Absorbent Cotton (Sterile and Non-Sterile) for Medical Use Conforming to IS 16468, Anhydrous Ethanol for use as Blending Component in Motor Gasoline (V2) Conforming to IS 15464, Health Supplements, Nutraceuticals and Food for Special Dietary Use (V2), File Folder (V3), Bitumen Primer for use in Waterproofing and Damp - Proofing as per IS 3384, Single Use Sterile Hypodermic Syringes for Human Use Conforming to IS 10258 (Part 1), Trichloroisocyanuric Acid (TCCA-90), Elastic Surgical Adhesive Tapes for Medical Use Conforming to IS 16470, Metal Oxide Surge Arresters Without Gaps For A.C. Systems (V2) Conforming to IS 15086 (Part 4)",Precision Air Conditioner,Precision Air Conditioner,Weak — review,45%
GEM/2026/B/7953171,Valmi Dimaka Anti termites Nematodes,ANTI TERMITE VALVI DIMAKA NEMATODES,Category not available on GeM for the text string uploaded by the buyer,Zero Till Seed cum Fertilizer Carrier Based Consortia (V2),Anti Pest Repellent,Weak — review,44%
GEM/2026/B/7943066,LIVE FIRE TRAINING MODULE,LIVE FIRE TRAINING MODULE,"IUCD (Intrauterine Contraceptive Device) Training module, Cyber Range and Cybersecurity Simulation Platform",Fire Hose Cabinet Flameproof Control Station Portable Fire Extinguishers (V3) ISI Marked to IS 15683,Advance Fire Monitor (V2),Weak — review,52%
GEM/2026/B/7953257,Aluminium Sheet Soft 4.06 mm,Aluminium Sheet Soft 4.06 mm,"Corrugated Aluminium Sheet as per IS 1254, XLPE Cable for Working Voltage up to and Including 1.1 KV Marked To IS 7098 (Part 1), Aluminium Composite Panel (V2) as per IS 17682, Wrought Aluminium and Aluminium Alloys Sheet and Strip (General Engineering Purposes) as per IS 737, PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Flexible Conductor (V2) ISI Marked To IS 694, Wrought Aluminium and Aluminium Alloy Bars, Rods,Tubes, Sections, Plates and Sheets for Electrical Application - IS 5082, Aluminized steel sheet OR Aluminium Zinc Alloy Metallic Coated Steel Strip And sheet as per IS 15961, Parallel Bar - Outdoor Gym Equipment, Aluminum Foil Wrapping Rolls & Sheets-IS:8970, dust pans",Aluminium Composite Panel Sheet,Corrugated Aluminium Sheet as per IS 1254,Weak — review,69%
GEM/2026/B/7953236,"Bid Number: GEM 2026 B 7953236 Dated: 24-08-2026 Bid Document Bid Details Bid End Date Time 03-09-2026 10:00:00 Bid Opening 03-09-2026 10:30:00 Date Time (( ) ) Bid Offer 90 (Days) Validity (From End Date) Ministry State Name Ministry Of Defence Department Name Department Of Defence Production Organisation Name Yantra India Limited Office Name *********** Contact details of HOD Email id :shashankiofs@ord.gov.in Grievance redressal Buyer Email id: mmofdc.ofb@nic.in Total Quantity 6 LM GUIDE (LV55 Y P) HSR 35A2GSSC0E1090LP-II (TO BE SUPPLIED WITH CLOSING PLUGS) . , LM GUIDE (LV55 X P) MSA 35B2SSF1A+ R1390-55 55 PII (TO BE S UPPLIED WITH CLOSING PLUGS) . , BALL SCREW (LV 55 X C3 HI WIN) R40- 12B2-SDT-874-1074.5-0.008 , BALL SCREW (LV 55 Y C3 HI WIN) R40-12B2-SDT-720-934.5-0.008 Searched BALL SCREW (LV 55 Y C3 HI WIN) R40-12B2-SDT-720-934.5- Strings used in 0.008 Wrought Aluminium Utensils (V2) as per IS 1660, Searched Unplsticized PVC Pipes for Water Supply conforming to IS Result generated in 4985 Relevant 5 Axis CNC Double Column Vertical Machining Centre Categories selected for notification Gantry Type Machining Centre MSE Yes | Complete Relaxation for Turnover Startup Yes | Complete Relaxation for Turnover 1",BALL SCREW (LV 55 Y C3 HI WIN) R40-12B2-SDT-720-934.5- 0.008,"Wrought Aluminium Utensils (V2) as per IS 1660, Unplsticized PVC Pipes for Water Supply conforming to IS 4985",5 Axis CNC Double Column Vertical Machining Centre Gantry Type Machining Centre,"Twist Drills, Parallel Shank, Jobber Series as per IS 5101",Weak — review,46%
GEM/2026/B/7953234,"Heavy Duty Rig Frame , 3mm 1000 by 1000 mm carbon fiber sheet , 5mm 1000 by 1000 mm carbon fiber sheet",5mm 1000 by 1000 mm carbon fiber sheet,"Computer Paper (V3) Conforming to IS 12766 (In Packet), Roti Making Machine, ROAD BARRIER, Labels Stickers (V3), Drawing Trussels Drawing Board Stand, Grain Storage Bin (V2), PTFE (Polytetrafluoroethylene) Rods (V2), HOT DIP GALVANIZED STEEL SERRATED FLOOR GRATINGS, MS Sheet as per IS 1079, Hydraulically Regulated Door Closers ISI Marked to 3564",AutomationTestCategory_DoNotUse,Corrugated Fibreboard Boxes - Heavy Duty,Weak — review,55%
GEM/2026/B/7933778,ST4597 ( Trixylenyl Phosphate),ST4597 ( Trixylenyl Phosphate),"CHLOROQUINE PHOSPHATE, Phosphate Solubilizing Bacterial Inoculant ( PSBI ) (V2) Conforming to IS 14807, Dicalcium Phosphate, Pillow Covers Khadi, Urea Phosphate, Gloves ECW (Modified) - Outer and Gloves ECW Inner (Defence), Mono Ammonium Phosphate, Sodium Phosphate Enema, Single Super Phosphate- IS:294, TRISODIUM PHOSPHATE (ANHYDROUS) - ONGC",Antioxidant 1010,Trisodium Phosphate as per IS 573,Weak — review,54%
GEM/2026/B/7859909,Oil Cutting ZX- 1,Oil Cutting ZX- 1,"Cutting Oil (V2), Internal Combustion Engine Crankcase Oils for Automotive Application (V2) Conforming to IS 13656, Heavy Petroleum Stock (HPS) Oil Conforming to IS 11489, Crop Reaper and Binder, ELEMENT SPIN ON OIL, Gas Cutting Nozzles, GASKET CUTTING MACHINE, Refined Mustard Oil (V4) (Defence), Refined Groundnut Oil (V4) (Defence), Refined Sunflower Oil (V4) (Defence)","Cutting Oil, Soluble as per IS 1115",Cutting Oil (V2),Weak — review,62%
GEM/2026/B/7828955,"Laying of Volleyball Court with Synthetic Surface, Covered Drainage with Sump, Scoring Board",Volleyball Court with Synthetic Surface,"Artificial Turf, PTFE Graphite yarn reinforced with Synthetic fibre Gland rope, Cable Lug for PZU-7 without surface treatment (Defence), Outdoor Slide (V2), Electronic Weigh Bridge (Without Civil Work), Hydraulic Horizontal Surface Grinders, Indoor Slide for Kids (V2), Fitness Tube, Volleyball (V3) Conforming to IS 417, Portable or Mobile Surface Roughness Tester",Volleyballs as per IS 417:1986,Volleyball Net (V2) Conforming to IS 3345,Weak — review,52%
GEM/2026/B/7882407,""" AMD Zynq™ UltraScale+ ™ MPSoC ZCU106 Evaluation Kit Optimized for quick application etc","""AMD Zynq™ UltraScale+™ MPSoC ZCU106 Evaluation Kit Optimized for quick application prototyping with Zynq UltraScale+",Category not available on GeM for the text string uploaded by the buyer,FPGA Development and Evaluation Board Networking Trainer Educational Kit Digital Trainer Kit,High performance Computing (HPC) in a Box,Weak — review,40%
GEM/2026/B/7878212,"Manual stop (Globe) Valve, 10 mm NB Class# 1500 , Manual stop (Globe) Valve Class# 2500","Manual stop (Globe)Valve, 10 mm NB as per ASME B 16.34","Trackside Indicator Boards and Signages as per IRICEN Manual, PLASTIC BIB TAPS, PILLAR TAPS, ANGLE VALVES & STOP VALVES FOR HOT & COLD WATER SERVICES Conforming to IS 9763, Swing Check Type Reflux Valves for Water Works Purposes (Single Door Pattern) (V2) as per IS 5312 (Part1)",Copper Alloy Globe Valve For Waterworks Purpose (V2) Conforming to IS 778 Globe Valve as per IS 778 Knife Edge Gate Valve,Ball Valve as per GAIL (India) Limited,Weak — review,52%
GEM/2026/B/7869876,Nagel Anomaloscope Testing Machine,Nagel Anomaloscope Testing Machine,"Compression Testing Machine, ATM Universal testing machine, Fatigue Testing Machine, Digital Rockwell Hardness Testing Machine, Spring Testing Machine (V2), Digital Spring Testing Machine, Frying oil testing machine, Wrap Block (Textile), Air Jet Erosion Testing Machine, Automatic Twist Tester (Textile)",Ophthalmic Ultrasound A B Scan Digital Photo Slit Lamp with Applanation Tonometer Binocular Indirect Ophthalmoscope - RBSK,Borescope - Inspection equipment,Weak — review,48%
GEM/2026/B/7899366,Table top Spectrum Analyser (9kHz-6.5 GHz) with EMI EMC Capability,Table top Spectrum Analyser (9kHz-6.5 GHz) with EMI EMC Capability,Spectrum Analyzers and Vector Network Analyzers,Spectrum Analyzers and Vector Network Analyzers (Version 2) Spectrum Analyzers and Vector Network Analyzers Signal Analyzer,Signal Analyzer,Weak — review,48%
GEM/2026/B/7901012,MECHANICAL SEAL FOR AIRBORNE APPLICATION,MECHANICAL SEAL FOR AIRBORNE APPLICATION,"Development Tools for Web Application Portal Application Software, Internal Combustion Engine Crankcase Oils for Automotive Application (V2) Conforming to IS 13656, Secondary Sealed Cells and Batteries For Portable Application - Nickel Cadmium Conforming To IS 16048 (Part 1), Helmet Airborne (Defence), Lead for Mechanical Pencil (V2), Submersible Pumps for Slurry Application, Valve Regulated Lead Acid (VRLA) Batteries as per TEC Specification, Switching Power Supply for Wireless Application, Dunnage Pallets Made from Recycled Plastic Wastes for Warehousing Applications as per IS 16058, Snorkel with Mask for coastal Application",Plastic Grip Seal,Aerospace sealant,Weak — review,72%
GEM/2026/B/7893649,"T L Tyres with O'Ring, Size - 24.00 X 35 - 48 PR, E- 4 , T L Tyres with O'Ring, Size - 18.00 X 25 - 32 PR, E- 4","T L Tyres with O'Ring, Size - 18.00 X 25 - 32 PR, E- 4",Non Sparking Double Ended Ring Spanner (V2),OTR Tyres for HEMMs,OTR Tyres (V2),Weak — review,63%
GEM/2026/B/7908380,WASHED SILICA SAND,WASHED SILICA SAND,"Silica Crucibles, Alcohol Based Hand Sanitizer, Silica Cloth, High Silica Sand for use in Foundries (V2) Conforming to IS 1987, Filter Sand, Silica Gel (V2) Conforming to IS 3401, Low Silica Limestone, Plastic Wash Bottle, Silica Fume (ONGC), Sand Paper (Defense)",High Silica Sand for use in Foundries as per IS 1987,Silica Cloth,Weak — review,72%
GEM/2026/B/7911202,"knapack battery sprayer , Fertilizer seed spreader and electric pressure washer",Fertilizer seed spreader and electric pressure washer,Thiram Water Dispersible Powder For Slurry Seed Treatment(V3) Conforming To Is 4766,"Crop Protection Equipment - Hand Operated Knapsack Sprayer, Piston Type for Agriculture as per IS 3906","Crop Protection Equipment - Hand Operated Knapsack Sprayer, Piston Type for Agriculture as per IS 3906",Weak — review,60%
GEM/2026/B/7889510,FUEL CELL ANALYTICAL TEST STATION WITH ACCESSORRIS,FUEL CELL ANALYTICAL TEST STATION WITH ACCESSORIES,"Laundrometer (Wash Fastness Tester with Standard Accessories), Breath Analyser, Saras Office Accessories (V3), Stationary Lead-Acid Cells and Batteries with Tubular Positive Plates Conforming To IS 1651, Stationary Lead-Acid Cells and Batteries with Plante Positive Plates Conforming To IS 1652",DigItal Diffusion Cell Apparatus Direct Methanol Fuel Cell (600 Wh) as per MHA QR,Microbial Fuel Test Kit,Weak — review,49%
GEM/2026/B/7910049,M s. Trident Make Automatic Drain Valve Of Model No: LDV- 2030 V2,M s. Trident Make Automatic Drain Valve Of Model No: LDV- 2030 V2,Category not available on GeM for the text string uploaded by the buyer,Electronic Auto Drain Valve (V2),Electronic Auto drain valve,Weak — review,62%
GEM/2026/B/7911627,"Fabrication, Supply, Installation & Commissioning of Shutter, Glass Facade Door and M. S. Tank Lid","Dismantling of small shutter for machine hall entrance and refixing it on outer side of wall along with motorization and shutter cover, Fabricating glass facade door at machine hall entrance and Fabrication and installation of M.S. Tank lid",Category not available on GeM for the text string uploaded by the buyer,Metal Rolling Shutters as per IS 6248,WOODEN FLUSH DOOR SHUTTERS (SOLID CORE TYPE),Weak — review,52%
GEM/2026/B/7910217,"RED RTV 106 (310 ml tube) , GREASE MIL-G-23827 , Assembly Fluid (4 Oz tube) , NYCOPROTEC 04 OIL (5 LITRE CAN) , 3M SUPER 77 ADHESIVE (18 Oz can) , SANDSTORM 27 A (16 Oz can) , Stainless Steel Locking Wire 24 SWG (0.5 KG REEL) , DAP' BUTYL -FLEX SEALANT (10.1 Oz Tube) , MOLLYKOTE 111 GREASE (1KG can) , FELPRO'C (1.31 LB CAN) , RENOLIT 762 (200 gm Tube) , HYLOMAR (85 gm Tube) , BLACK RTV 103 (2.8 Oz Tube) , Stainless Steel Locking Wire 21 SWG (1KG REEL)",STAINLESS STEEL LOCKING WIRE 21 SWG,"Stainless Steel Wire Conforming To IS 6528, Locking Compression Plates (V2), Stitching Wire for Book Binding, Weld Mesh Febric as per IS 4948, Standardized Self Locking Single Use Plastic Seals (Pull Tight Seal) as per Postal Department specification, Rotary Encoder",Mild Steel Wire for General Engineering Purpose as per IS 280,"Ready Mixed Paint, Air Drying, Red Oxide Zinc Chrome, Priming (V2) as per IS 2074",Weak — review,50%
GEM/2026/B/7901933,Cytotoxic Drug Dispensing Cabinet,Cytotoxic Drug Dispensing Cabinet,Category not available on GeM for the text string uploaded by the buyer,Drug Delivery System,Anti TB Drugs - Linezolid 600 mg Tablets,Weak — review,53%
