concept,category_hint,terms
Surgical Instruments,surgical instrument medical operation,surgical instrument;surgical instruments;surgical set;operation instruments;ot instruments;surgery instruments;medical instruments;forceps;artery forceps;scalpel;surgical blade;surgical scissors;needle holder;retractor;hemostat;dissecting forceps;tissue forceps;sponge holder;surgical clamp;surgical tray;instrument tray;suture set;surgical kit;minor surgery set;surgcal instrument;surgical instrment;sergical instruments;surgical instrumnts;operation theatre instruments;orthopedic instruments;dental instruments;ent instruments;ophthalmic instruments;gynae instruments;surgical tools;stainless steel surgical instruments;ss surgical instruments;reusable surgical instruments;disposable surgical instruments;trauma instruments;microsurgery instruments;laparoscopy instruments;surgical scissor set;dressing instruments;suturing instruments;surgical forceps;surgical needle;bone instruments;cutting instruments medical;grasping instruments;surgical equipment;operating instruments;medical surgical set
Safety Helmet,safety helmet head protection industrial,safety helmet;helmet;helmets;industrial helmet;construction helmet;hard hat;hardhat;safety hard hat;engineer helmet;worker helmet;labour helmet;site helmet;mining helmet;electrical safety helmet;ratchet helmet;safety cap;protective helmet;head protection helmet;helmat;helmit;safty helmet;safety helmat;hard-hat;safety headgear;head gear;bump cap;climbing helmet;rescue helmet;fire helmet;welding helmet;full brim helmet;cap style helmet;ventilated helmet;abs helmet;hdpe helmet;iso helmet;is 2925 helmet;industrial safety helmet;yellow helmet;white helmet;red helmet;blue helmet;safety helmet with chin strap;helmet with visor;visor helmet;protective headwear;workman helmet;factory helmet;civil helmet;ppe helmet;personal safety helmet;head safety helmet;safety hat;hard cap
Safety Harness / Belt,safety harness belt fall protection,safety harness;harness;full body harness;safety belt;fall protection harness;climbing harness;work harness;industrial harness;safety harness belt;double lanyard harness;single lanyard harness;scaffolding harness;roof harness;tower harness;linesman belt;pole belt;restraint belt;positioning belt;safty harness;safety harnes;safety harnass;hardness safety;fall arrest harness;fall arrestor;shock absorbing lanyard;lanyard;lifeline;anchor harness;rescue harness;confined space harness;height safety harness;body belt;waist belt safety;chest harness;seat harness;full harness;safety rope harness;polyester harness;webbing harness;ppe harness;personal fall protection;height work belt;safety belt for height;worker safety belt;electrician belt;linemen safety belt;construction harness;abseiling harness;belt harness safety;harness with lanyard;harness fall protection;safety line harness;arrestor harness
Metal Detector,metal detector security scanner,metal detector;metal detectors;hand held metal detector;handheld metal detector;door frame metal detector;dfmd;walk through metal detector;wtmd;security metal detector;gold metal detector;underground metal detector;deep search metal detector;portable metal detector;pin pointer detector;metal detecting machine;metal scanner;security scanner metal;metal detector gate;metel detector;metal detecter;metaldetector;metal ditector;metal detactor;airport metal detector;baggage metal detector;hand metal detector;super scanner;body scanner metal;frisking metal detector;security wand;detector wand;archway metal detector;multi zone metal detector;18 zone metal detector;6 zone metal detector;industrial metal detector;food metal detector;conveyor metal detector;needle detector;garment metal detector;treasure metal detector;coin metal detector;vlf metal detector;pulse induction metal detector;waterproof metal detector;metal detector security;entrance metal detector;checkpost metal detector;metal detector device;metal search machine;hhmd
Road Barricade / Barrier,barricade barrier road traffic safety,barricade;barricades;road barricade;barrier;barriers;road barrier;traffic barricade;traffic barrier;safety barricade;crowd barrier;crowd control barricade;expandable barricade;plastic barricade;steel barricade;frp barricade;police barricade;security barrier;boom barrier;boom gate;road blocker;tyre killer;spike barrier;barigade;barricde;baricade;barrikade;road divider;lane divider;median barrier;crash barrier;guard rail;guardrail;w beam crash barrier;traffic separator;delineator;queue barrier;retractable barrier;belt barrier;stanchion barrier;que manager;queue manager;pedestrian barrier;site barricade;construction barricade;safety barrier;water filled barrier;jersey barrier;concrete barrier;portable barricade;folding barricade;interlocking barricade;traffic control barrier;road safety barrier;parking barrier
Signage / Sign Board,signage sign board display safety,signage;sign board;signboard;sign;signs;safety signage;safety sign board;road sign board;traffic sign board;directional sign board;name board;display board sign;acp sign board;led sign board;glow sign board;neon sign;reflective sign board;cautionary sign board;mandatory sign board;warning sign;safety sign;fire exit sign;exit sign board;information sign board;signege;sinage;sign bord;sign-board;signboards;outdoor signage;indoor signage;digital signage;wayfinding signage;pole sign board;hoarding board;flex sign board;sunboard sign;vinyl sign board;metal sign board;aluminium sign board;retro reflective sign;road safety sign;no parking board;speed limit sign;railway sign board;office name plate;name plate signage;door sign board;washroom sign;assembly point sign;danger sign board;prohibition sign;signage display;corporate signage
Traffic Cone / Road Safety,traffic cone road safety marker,traffic cone;traffic cones;safety cone;road cone;road safety cone;pvc cone;plastic cone;reflective cone;traffic marker cone;parking cone;warning cone;construction cone;orange cone;cone;cones;safety marker;trafic cone;traffik cone;trafic cons;road safety marker;delineator cone;channelizer;traffic channelizer;road stud;cat eye;reflective road stud;solar road stud;speed breaker;speed bump;speed hump;road hump;rumble strip;traffic hump;wheel stopper;parking stopper;corner guard;traffic pole;road safety pole;spring post;bollard;traffic bollard;flexible bollard;sign cone;cone bar;cone with chain;safety cone reflective;750 mm cone;1000 mm cone;traffic safety cone;road marker cone;highway cone;site safety cone;cone marker;road safety equipment;cone traffic
Vacuum Cleaner,vacuum cleaner cleaning suction,vacuum cleaner;vacuum cleaners;vacuum;vaccum cleaner;vaccum;vacume cleaner;wet and dry vacuum cleaner;dry vacuum cleaner;wet vacuum cleaner;industrial vacuum cleaner;commercial vacuum cleaner;handheld vacuum cleaner;car vacuum cleaner;robotic vacuum cleaner;robot vacuum;cordless vacuum cleaner;bagless vacuum cleaner;canister vacuum cleaner;upright vacuum cleaner;backpack vacuum cleaner;vacume;vaccume cleaner;vaccum machine;vacum cleaner;cleaning vacuum;suction machine cleaner;floor vacuum cleaner;carpet vacuum cleaner;sofa vacuum cleaner;hepa vacuum cleaner;heavy duty vacuum cleaner;high suction vacuum cleaner;portable vacuum cleaner;mini vacuum cleaner;wall mounted vacuum cleaner;vacuum blower;blower vacuum;dust extractor;dust collector;vacuum suction machine;hotel vacuum cleaner;office vacuum cleaner;home vacuum cleaner;hospital vacuum cleaner;wet dry vacuum;3 in 1 vacuum cleaner;vacuum cleaning machine;electric vacuum cleaner;floor cleaning vacuum;professional vacuum cleaner;vacuum appliance;cleaner vacuum
Dustbin / Waste Bin,dustbin waste bin garbage container,dustbin;dust bin;dustbins;waste bin;garbage bin;trash bin;trash can;dust bins;kachra dan;kachra petti;kude dan;kooda dan;waste container;garbage container;pedal bin;pedal dustbin;swing bin;push bin;open bin;step bin;sensor dustbin;touchless dustbin;sanitary bin;biomedical waste bin;colour coded bin;twin bin;segregation bin;dust been;dustbeen;dust-bin;wet waste bin;dry waste bin;plastic dustbin;steel dustbin;ss dustbin;frp dustbin;outdoor dustbin;indoor dustbin;wall mounted dustbin;road dustbin;public dustbin;office dustbin;kitchen dustbin;hospital waste bin;medical waste bin;biohazard bin;wheeled bin;wheelie bin;240 litre bin;120 litre bin;660 litre bin;1100 litre bin;garbage can;litter bin;rubbish bin;waste basket;paper bin;dustbin container;waste disposal bin
Hand Dryer,hand dryer washroom bathroom,hand dryer;hand dryers;automatic hand dryer;sensor hand dryer;jet hand dryer;high speed hand dryer;electric hand dryer;washroom hand dryer;toilet hand dryer;bathroom hand dryer;hand drying machine;abs hand dryer;steel hand dryer;ss hand dryer;stainless steel hand dryer;wall mounted hand dryer;hand drier;hand dryar;hand dryier;hend dryer;auto hand dryer;touchless hand dryer;infrared hand dryer;commercial hand dryer;office hand dryer;hotel hand dryer;restaurant hand dryer;mall hand dryer;airport hand dryer;warm air hand dryer;hot air hand dryer;energy efficient hand dryer;low noise hand dryer;compact hand dryer;hand dryer machine;hand dryer washroom;quick hand dryer;hepa hand dryer;hand dryer with hepa;1800 watt hand dryer;hand dryer automatic;public washroom hand dryer;sanitary hand dryer;hygienic hand dryer;hand air dryer;hand blow dryer;electric hand drier;hand dryer unit;hands free hand dryer;hand dryer appliance;hand dryer sensor;hand dryer wall
Glucometer,glucometer blood sugar diabetes,glucometer;glucometers;blood sugar machine;sugar test machine;glucose meter;blood glucose monitor;blood glucose meter;diabetes machine;diabetic machine;sugar checking machine;sugar monitor;glucose monitor;gluco meter;glucometr;glucomter;glucomiter;glukometer;blood sugar monitor;blood sugar checking machine;glucometer machine;glucometer kit;glucometer with strips;sugar level machine;hba1c machine;sugar testing machine;portable glucometer;digital glucometer;continuous glucose monitor;cgm;glucose testing meter;blood sugar tester;sugar meter;diabetes testing machine;glucometer device;glucometer strips machine;home glucometer;clinical glucometer;hospital glucometer;self monitoring glucometer;finger prick glucometer;sugar reading machine;glucose reader;sugar test kit;diabetic test machine;blood glucose testing machine;glucometer meter;sugar level tester;sugar level monitor;glucose measurement device;sugar diagnostic machine;diabetes monitor;glucose analyser
Dental Chair / Equipment,dental chair unit clinic equipment,dental chair;dental unit;dental equipment;dental chair unit;dentist chair;electric dental chair;hydraulic dental chair;dental treatment chair;clinic dental chair;portable dental chair;dental x ray;dental scaler;ultrasonic scaler;dental compressor;dental handpiece;dental drill;dental light;dental operatory;dental setup;dentel chair;dental chiar;dental char;dental instruments;orthodontic chair;pediatric dental chair;mobile dental unit;dental treatment unit;dental delivery unit;dental stool;dentist stool;dental spittoon;dental cuspidor;dental suction;saliva ejector;dental autoclave;dental sterilizer;dental cabinet;dental tray;dental bracket table;dental operating light;dental curing light;dental apex locator;dental radiography;rvg dental;dental implant kit;dental burs;dental clinic equipment;dental furniture;dental care unit;dental machine;dental chair with light;complete dental unit;dental workstation
X-ray / Imaging Machine,x-ray imaging radiography diagnostic,x ray machine;xray machine;x-ray;xray;radiography machine;digital x ray;portable x ray;mobile x ray;fixed x ray;high frequency x ray;dental x ray;c arm machine;c-arm;fluoroscopy machine;cr system;dr system;computed radiography;digital radiography;x ray unit;x ray system;x-ray equipment;x ray macine;xray mashine;x-ray machin;exray machine;radiology machine;imaging machine;diagnostic imaging;mammography machine;ct scan machine;ct scanner;mri machine;ultrasound machine;sonography machine;usg machine;bone densitometer;opg machine;portable x ray machine;veterinary x ray;chest x ray machine;500 ma x ray;300 ma x ray;100 ma x ray;60 ma x ray;x ray film processor;x ray viewer;x ray view box;radiographic machine;medical imaging machine;diagnostic x ray;hospital x ray machine;clinic x ray;x ray radiography;imaging equipment;x ray generator
Centrifuge,centrifuge laboratory blood machine,centrifuge;centrifuges;laboratory centrifuge;lab centrifuge;blood centrifuge;clinical centrifuge;micro centrifuge;microcentrifuge;high speed centrifuge;refrigerated centrifuge;table top centrifuge;bench top centrifuge;digital centrifuge;brushless centrifuge;doctor centrifuge;prp centrifuge;hematocrit centrifuge;centrifuge machine;centrifug;centifuge;centrafuge;sentrifuge;centryfuge;8 tube centrifuge;16 tube centrifuge;24 tube centrifuge;swing bucket centrifuge;fixed angle centrifuge;angle head centrifuge;cytocentrifuge;ultracentrifuge;serum centrifuge;urine centrifuge;research centrifuge;pathology centrifuge;veterinary centrifuge;portable centrifuge;compact centrifuge;mini centrifuge;laboratory spinning machine;blood spinning machine;sample centrifuge;test tube centrifuge;centrifuge apparatus;centrifuge equipment;spinner machine lab;rpm centrifuge;3000 rpm centrifuge;4000 rpm centrifuge;5000 rpm centrifuge;medical centrifuge;diagnostic centrifuge;lab spinning centrifuge
Suction Machine,suction machine aspirator medical,suction machine;suction apparatus;suction unit;aspirator;medical suction machine;surgical suction machine;portable suction machine;electric suction machine;foot operated suction machine;manual suction machine;high vacuum suction machine;phlegm suction machine;mucus suction machine;suction pump medical;vacuum suction machine medical;suction machin;suciton machine;suction mashine;sunction machine;suction masheen;oral suction machine;nasal suction machine;wall suction unit;central suction;suction regulator;thoracic suction machine;gynae suction machine;mtp suction machine;liposuction machine;dental suction machine;icu suction machine;ot suction machine;double jar suction machine;single jar suction machine;suction bottle machine;battery suction machine;rechargeable suction machine;ambulance suction machine;emergency suction machine;baby suction machine;infant suction machine;secretion suction machine;fluid suction machine;medical aspirator machine;surgical aspirator;suction device medical;phlegm removal machine;hospital suction machine;clinic suction machine;suction equipment;vacuum aspirator;aspirator machine
Pulse Oximeter,pulse oximeter spo2 oxygen medical,pulse oximeter;oximeter;oximeters;spo2 monitor;spo2 meter;fingertip pulse oximeter;finger oximeter;finger tip oximeter;handheld pulse oximeter;digital pulse oximeter;pediatric pulse oximeter;neonatal pulse oximeter;table top pulse oximeter;oxygen level machine;oxygen saturation monitor;blood oxygen monitor;oximeter machine;oxymeter;oxymeter machine;pulse oxymeter;oximeeter;oximiter;spo2 sensor;spo2 probe;pulse rate monitor;heart rate oximeter;portable oximeter;clinical oximeter;hospital oximeter;home oximeter;led oximeter;oled oximeter;medical oximeter;oxygen measuring device;saturation meter;spo2 machine;finger clip oximeter;wrist oximeter;veterinary oximeter;battery oximeter;rechargeable oximeter;oxygen monitor finger;oxi meter;pulse ox;blood oxygen meter;oxygen saturation meter;spo2 pulse oximeter;oximeter device;pulse oximeter medical;oxygen reading machine;saturation monitor;oximeter diagnostic
PVC Pipe / Plumbing,pipe plumbing pvc fitting,pipe;pipes;pvc pipe;cpvc pipe;upvc pipe;hdpe pipe;gi pipe;ms pipe;plumbing pipe;water pipe;drainage pipe;sewer pipe;conduit pipe;pipe fitting;pipe fittings;plumbing material;plumbing fitting;elbow fitting;tee fitting;coupler;reducer;flange;nipple;pipe bend;pipe clamp;paip;peep;plumbng;plumming;pvc pype;pipe pvc;sanitary pipe;soil pipe;rainwater pipe;agricultural pipe;irrigation pipe;borewell pipe;column pipe;casing pipe;swr pipe;pressure pipe;flexible pipe;corrugated pipe;seamless pipe;erw pipe;ductile iron pipe;di pipe;cast iron pipe;polyethylene pipe;sprinkler pipe;drip pipe;lateral pipe;suction pipe;delivery pipe;plumbing pipe fitting;water supply pipe;pipe and fittings
Tap / Faucet / Sanitaryware,tap faucet sanitaryware bathroom,tap;taps;faucet;faucets;water tap;bib tap;bib cock;bibcock;pillar tap;pillar cock;angle valve;angle cock;stop cock;stopcock;sanitaryware;sanitary ware;bathroom fittings;cp fittings;chrome fittings;wash basin;washbasin;basin;sink;kitchen sink;toilet;commode;water closet;wc;ewc;iwc;urinal;flush tank;cistern;health faucet;jet spray;shower;shower head;hand shower;overhead shower;nal;nalka;tap nalka;sanitary fittings;bathroom accessories;toilet fittings;mixer tap;single lever tap;sensor tap;automatic tap;wall mixer;diverter;spout;waste coupling;bottle trap;p trap;floor drain;nahani trap;faucet tap;bathroom sanitaryware;wash basin tap;sanitary items
Tiles / Flooring,tiles flooring marble ceramic,tiles;tile;floor tiles;wall tiles;ceramic tiles;vitrified tiles;porcelain tiles;marble;granite;flooring;floor covering;vinyl flooring;wooden flooring;laminate flooring;pvc flooring;epoxy flooring;carpet tiles;anti skid tiles;designer tiles;digital tiles;glazed tiles;matt tiles;glossy tiles;tils;tyles;tile flooring;floring;kota stone;cement tiles;paver block;paving tiles;interlocking tiles;roof tiles;elevation tiles;bathroom tiles;kitchen tiles;parking tiles;outdoor tiles;2x2 tiles;600x600 tiles;800x800 tiles;wall cladding;flooring material;rubber flooring;sports flooring;gym flooring;hospital flooring;conductive flooring;raised floor;false flooring;access flooring;marble flooring;granite flooring;stone flooring;tile adhesive flooring
Plywood / Board,plywood board wood laminate,plywood;ply;ply board;plyboard;board;boards;mdf board;mdf;particle board;block board;blockboard;hdf board;wpc board;pvc board;commercial plywood;marine plywood;waterproof plywood;bwr plywood;bwp plywood;flush door plywood;laminate;laminates;sunmica;veneer;decorative laminate;plywud;plywd;playwood;ply wood;ply-wood;wooden board;timber board;shuttering plywood;film faced plywood;fire retardant plywood;gurjan plywood;hardwood plywood;softwood plywood;18mm plywood;12mm plywood;6mm plywood;furniture plywood;calibrated plywood;pre laminated board;prelam board;pre laminated particle board;melamine board;acrylic laminate;high pressure laminate;hpl;cement board;fibre board;insulation board;soft board;pin board plywood;wooden panel;board sheet
Door / Window,door window frame shutter,door;doors;window;windows;darwaza;khidki;wooden door;flush door;pvc door;upvc door;aluminium door;steel door;frp door;wpc door;fibre door;glass door;sliding door;panel door;membrane door;laminated door;upvc window;aluminium window;sliding window;openable window;casement window;fixed window;ventilator;door frame;chowkhat;window frame;door shutter;darvaza;khirki;khadki;door windo;dor;windo;main door;entrance door;bathroom door;toilet door;fire door;fire rated door;acoustic door;soundproof door;security door;grill door;mesh door;mosquito net window;wire mesh window;door and window;wooden window;ventilator window;louvered window;bay window;french window;double glazed window
Lock / Padlock,lock padlock security hardware,lock;locks;padlock;pad lock;tala;taala;door lock;mortise lock;cylinder lock;rim lock;night latch;dead lock;deadbolt;digital lock;smart lock;electronic lock;biometric lock;number lock;combination lock;brass padlock;iron padlock;hardened steel lock;godown lock;shutter lock;loack;padlok;pad-lock;lok;cupboard lock;drawer lock;furniture lock;cabinet lock;almirah lock;gate lock;chain lock;cycle lock;bike lock;helmet lock;luggage lock;tsa lock;keyless lock;rfid lock;hotel lock;door handle lock;lever lock;knob lock;aldrop;tower bolt;latch;hasp;hasp and staple;safety lock;security lock;master lock;lock and key;high security lock;anti theft lock;wafer lock;pin lock;lock hardware
Nut Bolt / Fastener,nut bolt fastener screw hardware,nut bolt;nut and bolt;nuts and bolts;bolt;bolts;nut;nuts;screw;screws;fastener;fasteners;washer;washers;hex bolt;hex nut;anchor bolt;foundation bolt;u bolt;j bolt;eye bolt;stud bolt;machine screw;self tapping screw;wood screw;self drilling screw;allen bolt;socket head bolt;carriage bolt;nut-bolt;nut bolt washer;nut bolts;bolt nut;faastener;fastner;spring washer;flat washer;lock washer;check nut;lock nut;nylock nut;wing nut;dome nut;rivet;rivets;pop rivet;blind rivet;clevis pin;cotter pin;split pin;grub screw;set screw;threaded rod;all thread;gi bolt;ss bolt;ms bolt;high tensile bolt;ht bolt;hex head bolt;hardware fastener;industrial fastener;fixing bolt;assembly bolt
Hand Tools,hand tool toolkit hardware,hand tools;hand tool;tool kit;toolkit;tools;hardware tools;auzar;hammer;hathoda;screwdriver;pech kas;pliers;plas;spanner;pana;wrench;adjustable wrench;allen key;hex key;chisel;file tool;hacksaw;saw;aari;cutting plier;nose plier;wire cutter;measuring tape;tape measure;spirit level;vernier caliper;crimping tool;soldering iron;wire stripper;hand tul;hand-tools;hend tools;tul kit;tool set;mechanic tool kit;electrician tool kit;plumber tool kit;carpenter tools;hand tool set;tool box set;socket set;ratchet set;torque wrench;clamp;g clamp;bench vice;vice;puller;bearing puller;grease gun;punch tool;cold chisel;mallet;rubber mallet;claw hammer;ball pein hammer;tool box;toolbox;utility tools
Drill Machine / Power Tools,drill power tool machine electric,drill machine;drill;power tools;power tool;electric drill;cordless drill;impact drill;hammer drill;rotary hammer;screwdriver machine;impact driver;angle grinder;grinder machine;cutting machine;chop saw;circular saw;jigsaw;jig saw;planer machine;router machine;wood router;sander machine;orbital sander;polisher machine;heat gun;blower power tool;drill mashine;dril machine;drilling machine;drill machin;bench drill;pillar drill;drill press;cordless screwdriver;electric screwdriver;power drill;13mm drill;10mm drill;6mm drill;concrete drill;wall drill;masonry drill;wood drill;metal drill;demolition hammer;chipping hammer;die grinder;bench grinder;angle cutter;marble cutter;tile cutter machine;power saw;reciprocating saw;nail gun;staple gun;spray gun;power tool kit;cordless tools
Welding Machine,welding machine welder arc inverter,welding machine;welding machines;welder;welding set;arc welding machine;inverter welding machine;mig welding machine;tig welding machine;spot welding machine;co2 welding machine;plasma cutting machine;welding inverter;welding transformer;welding rectifier;portable welding machine;welding generator;welding rod machine;welding mashine;welding machin;wleding machine;welding masheen;weilding machine;single phase welding machine;three phase welding machine;200 amp welding machine;250 amp welding machine;400 amp welding machine;arc welder;mma welder;stick welder;mig welder;tig welder;gas welding set;oxy acetylene set;welding holder;electrode holder;welding cable;welding helmet machine;welding accessories;welding equipment;welding torch;plasma cutter;submerged arc welding;resistance welding machine;seam welding machine;spot welder;welding plant;industrial welding machine;welding rod;welding electrode machine;portable welder;welding tool
Ladder,ladder aluminium step climbing,ladder;ladders;seedhi;sidhi;aluminium ladder;aluminum ladder;step ladder;extension ladder;telescopic ladder;folding ladder;platform ladder;wall ladder;straight ladder;self supporting ladder;a type ladder;baby ladder;tower ladder;scaffolding ladder;fibreglass ladder;frp ladder;steel ladder;iron ladder;ladar;leader ladder;ladder aluminium;ladder step;ladder folding;leddar;multipurpose ladder;3 step ladder;5 step ladder;7 step ladder;10 step ladder;domestic ladder;industrial ladder;warehouse ladder;library ladder;roof ladder;rope ladder;trestle ladder;step stool;climbing ladder;portable ladder;aluminium step ladder;wall support ladder;double sided ladder;single sided ladder;heavy duty ladder;cantilever ladder;mobile ladder;ladder with platform;electrician ladder;fruit picking ladder;aluminium extension ladder;ladder trolley
Water Tank / Storage Tank,water tank storage overhead,water tank;tank;tanks;storage tank;overhead tank;plastic water tank;pvc water tank;hdpe tank;sintex tank;loft tank;underground tank;roto tank;double layer tank;triple layer tank;4 layer tank;500 litre tank;1000 litre tank;2000 litre tank;5000 litre tank;10000 litre tank;water storage tank;pani tanki;tanki;paani tank;watr tank;watter tank;water tanki;black water tank;food grade water tank;chemical tank;diesel tank;fuel tank storage;septic tank;frp tank;stainless steel tank;ss water tank;cylindrical tank;vertical tank;horizontal tank;insulated water tank;cold water tank;hot water tank;agricultural tank;spray tank;rainwater harvesting tank;industrial water tank;syntex tank;storage water tank;overhead water tank;loft water tank;roof water tank;domestic water tank;community water tank;bulk storage tank
Fertilizer / Manure,fertilizer manure khad agriculture,fertilizer;fertiliser;khad;khaad;urea;dap;npk;npk fertilizer;potash;muriate of potash;mop fertilizer;ssp;single super phosphate;organic fertilizer;bio fertilizer;biofertilizer;compost;vermicompost;manure;organic manure;farmyard manure;fym;cow dung manure;micronutrient fertilizer;fertlizer;fertalizer;fertliser;khaad urvarak;urvarak;chemical fertilizer;nitrogen fertilizer;phosphate fertilizer;potassium fertilizer;zinc sulphate;gypsum fertilizer;neem coated urea;water soluble fertilizer;liquid fertilizer;foliar fertilizer;granular fertilizer;soil conditioner;plant nutrient;crop nutrient;agriculture fertilizer;farm fertilizer;field fertilizer;growth fertilizer;bone meal;seaweed fertilizer;humic acid;mycorrhiza;biological fertilizer;nutrient supplement crop;fertilizer manure;khad fertilizer;urvarak khad
Pesticide / Insecticide,pesticide insecticide crop protection,pesticide;pesticides;insecticide;insecticides;keetnashak;keet nashak;herbicide;weedicide;fungicide;rodenticide;nematicide;crop protection chemical;plant protection chemical;spray chemical;agrochemical;agro chemical;kaeetnashak;pest control chemical;insect killer;mosquito repellent chemical;termite chemical;pesticde;pestiside;insecticde;insectiside;kitnashak;kheti dawai;fasal dawai;neem oil pesticide;bio pesticide;biopesticide;organic pesticide;systemic insecticide;contact insecticide;granular insecticide;liquid insecticide;powder insecticide;soil insecticide;seed treatment chemical;post emergence herbicide;pre emergence herbicide;selective herbicide;glyphosate;chlorpyrifos;imidacloprid;cypermethrin;mancozeb;sulphur fungicide;copper fungicide;spray pesticide;crop insecticide;field pesticide;agriculture pesticide;pest killer;insect control chemical;pesticide chemical;plant medicine;fasal suraksha
Seeds,seeds beej agriculture crop,seeds;seed;beej;bija;hybrid seeds;vegetable seeds;flower seeds;crop seeds;cereal seeds;wheat seeds;paddy seeds;rice seeds;maize seeds;corn seeds;cotton seeds;soybean seeds;gram seeds;pulse seeds;oilseed seeds;mustard seeds crop;groundnut seeds;sunflower seeds crop;certified seeds;foundation seeds;breeder seeds;treated seeds;gmo seeds;gm seeds;bt cotton seeds;sead;seads;beej crop;unnat beej;improved seeds;high yield seeds;tomato seeds;chilli seeds;onion seeds;brinjal seeds;okra seeds;bhindi seeds;cucumber seeds;gourd seeds;pumpkin seeds crop;spinach seeds;coriander seeds crop;fodder seeds;grass seeds;lawn seeds;green manure seeds;sowing seeds;planting seeds;nursery seeds;kitchen garden seeds;agriculture seeds;farm seeds;seed variety;seeds beej
Sprayer (Agricultural),sprayer pump agriculture spray,sprayer;sprayers;knapsack sprayer;backpack sprayer;hand sprayer;battery sprayer;power sprayer;manual sprayer;pressure sprayer;htp sprayer;boom sprayer;mist blower;agricultural sprayer;garden sprayer;pesticide sprayer;spray pump;spray machine;spraer;sprayor;sprayar;spray pump agriculture;chhidkav pump;spray tanki;16 litre sprayer;18 litre sprayer;5 litre sprayer;double motor sprayer;single motor sprayer;rechargeable sprayer;electric sprayer;diaphragm sprayer;piston sprayer;brass sprayer;trigger sprayer;handheld sprayer;trolley sprayer;tractor sprayer;orchard sprayer;field sprayer;crop sprayer;disinfectant sprayer;sanitizer sprayer;fogging machine;fog sprayer;cold fogger;thermal fogger;ulv sprayer;power spray pump;motorized sprayer;spraying machine;portable sprayer;farm sprayer;spray equipment;sprayer pump agriculture
Tarpaulin / Tirpal,tarpaulin tirpal cover sheet,tarpaulin;tarpauline;tirpal;tarpal;tarpolin;tarpoline;tadpatri;tadpatri sheet;hdpe tarpaulin;ldpe tarpaulin;pvc tarpaulin;cotton tarpaulin;canvas tarpaulin;waterproof tarpaulin;plastic tarpaulin;cover sheet;protective cover;tarpolen;tirpaal;tarpaal;tarpolin sheet;tarpaulin cover;tarpaulin sheet;truck cover tarpaulin;roof cover tarpaulin;pond liner;silpaulin;silpauline;green tarpaulin;blue tarpaulin;black tarpaulin;grain cover tarpaulin;agricultural tarpaulin;vermibed tarpaulin;azolla bed tarpaulin;shade net cover;waterproof cover sheet;rain cover sheet;vehicle cover tarpaulin;goods cover;cargo cover;tent tarpaulin;camping tarpaulin;heavy duty tarpaulin;gsm tarpaulin;200 gsm tarpaulin;utility tarpaulin;multipurpose cover;protective sheet;outdoor cover sheet;tarpaulin tadpatri;waterproofing sheet;poly tarp
Bedsheet / Linen,bedsheet linen bed cotton,bedsheet;bed sheet;bedsheets;chadar;chaddar;bed linen;linen;cotton bedsheet;single bedsheet;double bedsheet;hospital bedsheet;hostel bedsheet;plain bedsheet;printed bedsheet;bed cover;bedcover;bed spread;bedspread;fitted bedsheet;mattress cover;mattress protector;bedshet;bed shit;bedseet;chaadar;bistar chadar;bed linen set;bedsheet set;bedsheet with pillow cover;flat bedsheet;elastic bedsheet;waterproof bedsheet;rubber sheet bed;draw sheet;hospital linen;institutional linen;cotton linen;poly cotton bedsheet;microfibre bedsheet;king size bedsheet;queen size bedsheet;cot sheet;hostel linen;uniform bedsheet;white bedsheet;coloured bedsheet;bedding;bedding set;bed spread cotton;duvet cover;quilt cover;comforter cover;bedsheet cotton;linen bedsheet;bed chadar
Blanket / Kambal,blanket kambal wool bedding,blanket;blankets;kambal;kambhal;kamble;woollen blanket;wool blanket;fleece blanket;mink blanket;polar fleece blanket;single blanket;double blanket;cotton blanket;hospital blanket;hostel blanket;relief blanket;emergency blanket;quilt;razai;rajai;razaai;comforter;duvet;dohar;blanket kambal;blancket;blankit;blankat;warm blanket;winter blanket;heavy blanket;light blanket;solapur blanket;military blanket;army blanket;grey blanket;acrylic blanket;polyester blanket;coral blanket;sherpa blanket;electric blanket;picnic blanket;travel blanket;baby blanket;infant blanket;throw blanket;double bed blanket;single bed blanket;institutional blanket;disaster relief blanket;flood relief blanket;woolen kambal;garam kambal;winter kambal;blanket wool;bedding blanket
Towel,towel bath cotton napkin,towel;towels;tauliya;toliya;towliya;bath towel;hand towel;face towel;cotton towel;terry towel;microfibre towel;kitchen towel;hair towel;swimming towel;sports towel;gym towel;beach towel;hospital towel;hostel towel;towal;towell;tovel;tauliya cotton;bath towel cotton;napkin towel;turkish towel;bamboo towel;waffle towel;salon towel;spa towel;guest towel;small towel;large towel;big towel;hand napkin;table napkin;cleaning towel;duster towel;kitchen napkin;tea towel;dish towel;cotton napkin;white towel;coloured towel;printed towel;plain towel;absorbent towel;quick dry towel;premium towel;economy towel;institutional towel;towel set;towel cotton;bathing towel;snan towel
